Name,url
"Abrines, Alex",http://stats.nba.com/player/#!/203518/
"Acy, Quincy",http://stats.nba.com/player/#!/203112/
"Adams, Steven",http://stats.nba.com/player/#!/203500/
"Adebayo, Bam",http://stats.nba.com/player/#!/1628389/
"Afflalo, Arron",http://stats.nba.com/player/#!/201167/
"Ajinca, Alexis",http://stats.nba.com/player/#!/201582/
"Aldrich, Cole",http://stats.nba.com/player/#!/202332/
"Aldridge, LaMarcus",http://stats.nba.com/player/#!/200746/
"Allen, Jarrett",http://stats.nba.com/player/#!/1628386/
"Allen, Kadeem",http://stats.nba.com/player/#!/1628443/
"Aminu, Al-Farouq",http://stats.nba.com/player/#!/202329/
"Anderson, Justin",http://stats.nba.com/player/#!/1626147/
"Anderson, Kyle",http://stats.nba.com/player/#!/203937/
"Anderson, Ryan",http://stats.nba.com/player/#!/201583/
"Anigbogu, Ike",http://stats.nba.com/player/#!/1628387/
"Antetokounmpo, Giannis",http://stats.nba.com/player/#!/203507/
"Anthony, Carmelo",http://stats.nba.com/player/#!/2546/
"Anunoby, OG",http://stats.nba.com/player/#!/1628384/
"Arcidiacono, Ryan",http://stats.nba.com/player/#!/1627853/
"Ariza, Trevor",http://stats.nba.com/player/#!/2772/
"Arthur, Darrell",http://stats.nba.com/player/#!/201589/
"Artis, Jamel",http://stats.nba.com/player/#!/1628503/
"Ashley, Brandon",http://stats.nba.com/player/#!/1626165/
"Asik, Omer",http://stats.nba.com/player/#!/201600/
"Augustin, D.J.",http://stats.nba.com/player/#!/201571/
"Babbitt, Luke",http://stats.nba.com/player/#!/202337/
"Bacon, Dwayne",http://stats.nba.com/player/#!/1628407/
"Baker, Ron",http://stats.nba.com/player/#!/1627758/
"Baldwin IV, Wade",http://stats.nba.com/player/#!/1627735/
"Ball, Lonzo",http://stats.nba.com/player/#!/1628366/
"Barea, J.J.",http://stats.nba.com/player/#!/200826/
"Barnes, Harrison",http://stats.nba.com/player/#!/203084/
"Barton, Will",http://stats.nba.com/player/#!/203115/
"Batum, Nicolas",http://stats.nba.com/player/#!/201587/
"Bayless, Jerryd",http://stats.nba.com/player/#!/201573/
"Baynes, Aron",http://stats.nba.com/player/#!/203382/
"Bazemore, Kent",http://stats.nba.com/player/#!/203145/
"Beal, Bradley",http://stats.nba.com/player/#!/203078/
"Beasley, Malik",http://stats.nba.com/player/#!/1627736/
"Beasley, Michael",http://stats.nba.com/player/#!/201563/
"Belinelli, Marco",http://stats.nba.com/player/#!/201158/
"Bell, Jordan",http://stats.nba.com/player/#!/1628395/
"Bembry, DeAndre'",http://stats.nba.com/player/#!/1627761/
"Bender, Dragan",http://stats.nba.com/player/#!/1627733/
"Bertans, Davis",http://stats.nba.com/player/#!/202722/
"Beverley, Patrick",http://stats.nba.com/player/#!/201976/
"Birch, Khem",http://stats.nba.com/player/#!/203920/
"Biyombo, Bismack",http://stats.nba.com/player/#!/202687/
"Bjelica, Nemanja",http://stats.nba.com/player/#!/202357/
"Black, Tarik",http://stats.nba.com/player/#!/204028/
"Blakeney, Antonio",http://stats.nba.com/player/#!/1628469/
"Bledsoe, Eric",http://stats.nba.com/player/#!/202339/
"Blue, Vander",http://stats.nba.com/player/#!/203505/
"Bogdanovic, Bogdan",http://stats.nba.com/player/#!/203992/
"Bogdanovic, Bojan",http://stats.nba.com/player/#!/202711/
"Bolomboy, Joel",http://stats.nba.com/player/#!/1627762/
"Booker, Devin",http://stats.nba.com/player/#!/1626164/
"Booker, Trevor",http://stats.nba.com/player/#!/202344/
"Boucher, Chris",http://stats.nba.com/player/#!/1628449/
"Bradley, Avery",http://stats.nba.com/player/#!/202340/
"Bradley, Tony",http://stats.nba.com/player/#!/1628396/
"Brewer, Corey",http://stats.nba.com/player/#!/201147/
"Brogdon, Malcolm",http://stats.nba.com/player/#!/1627763/
"Brooks, Dillon",http://stats.nba.com/player/#!/1628415/
"Brown, Jaylen",http://stats.nba.com/player/#!/1627759/
"Brown, Lorenzo",http://stats.nba.com/player/#!/203485/
"Brown, Sterling",http://stats.nba.com/player/#!/1628425/
"Brussino, Nicolas",http://stats.nba.com/player/#!/1627852/
"Bryant, Thomas",http://stats.nba.com/player/#!/1628418/
"Bullock, Reggie",http://stats.nba.com/player/#!/203493/
"Burks, Alec",http://stats.nba.com/player/#!/202692/
"Butler, Jimmy",http://stats.nba.com/player/#!/202710/
"Caboclo, Bruno",http://stats.nba.com/player/#!/203998/
"Calderon, Jose",http://stats.nba.com/player/#!/101181/
"Caldwell-Pope, Kentavious",http://stats.nba.com/player/#!/203484/
"Capela, Clint",http://stats.nba.com/player/#!/203991/
"Carroll, DeMarre",http://stats.nba.com/player/#!/201960/
"Carter, Vince",http://stats.nba.com/player/#!/1713/
"Carter-Williams, Michael",http://stats.nba.com/player/#!/203487/
"Caruso, Alex",http://stats.nba.com/player/#!/1627936/
"Casspi, Omri",http://stats.nba.com/player/#!/201956/
"Cauley-Stein, Willie",http://stats.nba.com/player/#!/1626161/
"Caupain, Troy",http://stats.nba.com/player/#!/1628505/
"Cavanaugh, Tyler",http://stats.nba.com/player/#!/1628463/
"Chalmers, Mario",http://stats.nba.com/player/#!/201596/
"Chandler, Tyson",http://stats.nba.com/player/#!/2199/
"Chandler, Wilson",http://stats.nba.com/player/#!/201163/
"Chriss, Marquese",http://stats.nba.com/player/#!/1627737/
"Christon, Semaj",http://stats.nba.com/player/#!/203902/
"Clark, Ian",http://stats.nba.com/player/#!/203546/
"Clarkson, Jordan",http://stats.nba.com/player/#!/203903/
"Clavell, Gian",http://stats.nba.com/player/#!/1628492/
"Collins, John",http://stats.nba.com/player/#!/1628381/
"Collins, Zach",http://stats.nba.com/player/#!/1628380/
"Collison, Darren",http://stats.nba.com/player/#!/201954/
"Collison, Nick",http://stats.nba.com/player/#!/2555/
"Conley, Mike",http://stats.nba.com/player/#!/201144/
"Connaughton, Pat",http://stats.nba.com/player/#!/1626192/
"Cook, Quinn",http://stats.nba.com/player/#!/1626188/
"Cooley, Jack",http://stats.nba.com/player/#!/204022/
"Costello, Matt",http://stats.nba.com/player/#!/1627856/
"Cousins, DeMarcus",http://stats.nba.com/player/#!/202326/
"Covington, Robert",http://stats.nba.com/player/#!/203496/
"Crabbe, Allen",http://stats.nba.com/player/#!/203459/
"Craig, Torrey",http://stats.nba.com/player/#!/1628470/
"Crawford, Jamal",http://stats.nba.com/player/#!/2037/
"Crawford, Jordan",http://stats.nba.com/player/#!/202348/
"Crowder, Jae",http://stats.nba.com/player/#!/203109/
"Curry, Seth",http://stats.nba.com/player/#!/203552/
"Curry, Stephen",http://stats.nba.com/player/#!/201939/
"Daniels, Troy",http://stats.nba.com/player/#!/203584/
"Davis, Anthony",http://stats.nba.com/player/#!/203076/
"Davis, Deyonta",http://stats.nba.com/player/#!/1627738/
"Davis, Ed",http://stats.nba.com/player/#!/202334/
"DeRozan, DeMar",http://stats.nba.com/player/#!/201942/
"Dedmon, Dewayne",http://stats.nba.com/player/#!/203473/
"Dekker, Sam",http://stats.nba.com/player/#!/1626155/
"Delaney, Malcolm",http://stats.nba.com/player/#!/1627098/
"Dellavedova, Matthew",http://stats.nba.com/player/#!/203521/
"Deng, Luol",http://stats.nba.com/player/#!/2736/
"Diallo, Cheick",http://stats.nba.com/player/#!/1627767/
"Dieng, Gorgui",http://stats.nba.com/player/#!/203476/
"Dinwiddie, Spencer",http://stats.nba.com/player/#!/203915/
"Dorsey, Tyler",http://stats.nba.com/player/#!/1628416/
"Dotson, Damyean",http://stats.nba.com/player/#!/1628422/
"Doyle, Milton",http://stats.nba.com/player/#!/1628495/
"Dragic, Goran",http://stats.nba.com/player/#!/201609/
"Drew II, Larry",http://stats.nba.com/player/#!/203580/
"Drummond, Andre",http://stats.nba.com/player/#!/203083/
"Dudley, Jared",http://stats.nba.com/player/#!/201162/
"Dunn, Kris",http://stats.nba.com/player/#!/1627739/
"Durant, Kevin",http://stats.nba.com/player/#!/201142/
"Ellenson, Henry",http://stats.nba.com/player/#!/1627740/
"Ellington, Wayne",http://stats.nba.com/player/#!/201961/
"Embiid, Joel",http://stats.nba.com/player/#!/203954/
"Ennis, Tyler",http://stats.nba.com/player/#!/203898/
"Ennis III, James",http://stats.nba.com/player/#!/203516/
"Evans, Jawun",http://stats.nba.com/player/#!/1628393/
"Evans, Tyreke",http://stats.nba.com/player/#!/201936/
"Exum, Dante",http://stats.nba.com/player/#!/203957/
"Faried, Kenneth",http://stats.nba.com/player/#!/202702/
"Favors, Derrick",http://stats.nba.com/player/#!/202324/
"Felder, Kay",http://stats.nba.com/player/#!/1627770/
"Felicio, Cristiano",http://stats.nba.com/player/#!/1626245/
"Felton, Raymond",http://stats.nba.com/player/#!/101109/
"Ferguson, Terrance",http://stats.nba.com/player/#!/1628390/
"Ferrell, Yogi",http://stats.nba.com/player/#!/1627812/
"Finney-Smith, Dorian",http://stats.nba.com/player/#!/1627827/
"Forbes, Bryn",http://stats.nba.com/player/#!/1627854/
"Fournier, Evan",http://stats.nba.com/player/#!/203095/
"Fox, De'Aaron",http://stats.nba.com/player/#!/1628368/
"Frazier, Tim",http://stats.nba.com/player/#!/204025/
"Frye, Channing",http://stats.nba.com/player/#!/101112/
"Fultz, Markelle",http://stats.nba.com/player/#!/1628365/
"Gallinari, Danilo",http://stats.nba.com/player/#!/201568/
"Galloway, Langston",http://stats.nba.com/player/#!/204038/
"Gasol, Marc",http://stats.nba.com/player/#!/201188/
"Gasol, Pau",http://stats.nba.com/player/#!/2200/
"Gay, Rudy",http://stats.nba.com/player/#!/200752/
"George, Paul",http://stats.nba.com/player/#!/202331/
"Gibson, Taj",http://stats.nba.com/player/#!/201959/
"Giles, Harry",http://stats.nba.com/player/#!/1628385/
"Ginobili, Manu",http://stats.nba.com/player/#!/1938/
"Gobert, Rudy",http://stats.nba.com/player/#!/203497/
"Gordon, Aaron",http://stats.nba.com/player/#!/203932/
"Gordon, Eric",http://stats.nba.com/player/#!/201569/
"Gortat, Marcin",http://stats.nba.com/player/#!/101162/
"Graham, Treveon",http://stats.nba.com/player/#!/1626203/
"Grant, Jerami",http://stats.nba.com/player/#!/203924/
"Grant, Jerian",http://stats.nba.com/player/#!/1626170/
"Green, Danny",http://stats.nba.com/player/#!/201980/
"Green, Draymond",http://stats.nba.com/player/#!/203110/
"Green, Jeff",http://stats.nba.com/player/#!/201145/
"Griffin, Blake",http://stats.nba.com/player/#!/201933/
"Griffin, Eric",http://stats.nba.com/player/#!/203547/
"Hamilton, Daniel",http://stats.nba.com/player/#!/1627772/
"Hammons, AJ",http://stats.nba.com/player/#!/1627773/
"Hardaway Jr., Tim",http://stats.nba.com/player/#!/203501/
"Harden, James",http://stats.nba.com/player/#!/201935/
"Harkless, Maurice",http://stats.nba.com/player/#!/203090/
"Harrell, Montrezl",http://stats.nba.com/player/#!/1626149/
"Harris, Devin",http://stats.nba.com/player/#!/2734/
"Harris, Gary",http://stats.nba.com/player/#!/203914/
"Harris, Joe",http://stats.nba.com/player/#!/203925/
"Harris, Tobias",http://stats.nba.com/player/#!/202699/
"Harrison, Andrew",http://stats.nba.com/player/#!/1626150/
"Hart, Josh",http://stats.nba.com/player/#!/1628404/
"Haslem, Udonis",http://stats.nba.com/player/#!/2617/
"Hayes, Nigel",http://stats.nba.com/player/#!/1628502/
"Hayward, Gordon",http://stats.nba.com/player/#!/202330/
"Henson, John",http://stats.nba.com/player/#!/203089/
"Hernangomez, Juan",http://stats.nba.com/player/#!/1627823/
"Hernangomez, Willy",http://stats.nba.com/player/#!/1626195/
"Hezonja, Mario",http://stats.nba.com/player/#!/1626209/
"Hield, Buddy",http://stats.nba.com/player/#!/1627741/
"Hill, George",http://stats.nba.com/player/#!/201588/
"Hill, Solomon",http://stats.nba.com/player/#!/203524/
"Hilliard, Darrun",http://stats.nba.com/player/#!/1626199/
"Holiday, Jrue",http://stats.nba.com/player/#!/201950/
"Holiday, Justin",http://stats.nba.com/player/#!/203200/
"Holland, John",http://stats.nba.com/player/#!/204066/
"Hollis-Jefferson, Rondae",http://stats.nba.com/player/#!/1626178/
"Holmes, Richaun",http://stats.nba.com/player/#!/1626158/
"Hood, Rodney",http://stats.nba.com/player/#!/203918/
"Horford, Al",http://stats.nba.com/player/#!/201143/
"Howard, Dwight",http://stats.nba.com/player/#!/2730/
"Huestis, Josh",http://stats.nba.com/player/#!/203962/
"Hunter, Vince",http://stats.nba.com/player/#!/629208/
"Ibaka, Serge",http://stats.nba.com/player/#!/201586/
"Iguodala, Andre",http://stats.nba.com/player/#!/2738/
"Ilyasova, Ersan",http://stats.nba.com/player/#!/101141/
"Ingles, Joe",http://stats.nba.com/player/#!/204060/
"Ingram, Brandon",http://stats.nba.com/player/#!/1627742/
"Irving, Kyrie",http://stats.nba.com/player/#!/202681/
"Isaac, Jonathan",http://stats.nba.com/player/#!/1628371/
"Iwundu, Wesley",http://stats.nba.com/player/#!/1628411/
"Jackson, Demetrius",http://stats.nba.com/player/#!/1627743/
"Jackson, Frank",http://stats.nba.com/player/#!/1628402/
"Jackson, Josh",http://stats.nba.com/player/#!/1628367/
"Jackson, Justin",http://stats.nba.com/player/#!/1628382/
"Jackson, Reggie",http://stats.nba.com/player/#!/202704/
"James, LeBron",http://stats.nba.com/player/#!/2544/
"James, Mike",http://stats.nba.com/player/#!/1628455/
"Jefferson, Al",http://stats.nba.com/player/#!/2744/
"Jefferson, Richard",http://stats.nba.com/player/#!/2210/
"Jerebko, Jonas",http://stats.nba.com/player/#!/201973/
"Johnson, Amir",http://stats.nba.com/player/#!/101161/
"Johnson, Brice",http://stats.nba.com/player/#!/1627744/
"Johnson, Dakari",http://stats.nba.com/player/#!/1626177/
"Johnson, James",http://stats.nba.com/player/#!/201949/
"Johnson, Joe",http://stats.nba.com/player/#!/2207/
"Johnson, Stanley",http://stats.nba.com/player/#!/1626169/
"Johnson, Tyler",http://stats.nba.com/player/#!/204020/
"Johnson, Wesley",http://stats.nba.com/player/#!/202325/
"Jokic, Nikola",http://stats.nba.com/player/#!/203999/
"Jones, Damian",http://stats.nba.com/player/#!/1627745/
"Jones, DeQuan",http://stats.nba.com/player/#!/203199/
"Jones, Jalen",http://stats.nba.com/player/#!/1627883/
"Jones, Tyus",http://stats.nba.com/player/#!/1626145/
"Jones Jr., Derrick",http://stats.nba.com/player/#!/1627884/
"Jordan, DeAndre",http://stats.nba.com/player/#!/201599/
"Joseph, Cory",http://stats.nba.com/player/#!/202709/
"Kaminsky, Frank",http://stats.nba.com/player/#!/1626163/
"Kanter, Enes",http://stats.nba.com/player/#!/202683/
"Kennard, Luke",http://stats.nba.com/player/#!/1628379/
"Kidd-Gilchrist, Michael",http://stats.nba.com/player/#!/203077/
"Kilpatrick, Sean",http://stats.nba.com/player/#!/203930/
"Kleber, Maxi",http://stats.nba.com/player/#!/1628467/
"Knight, Brandon",http://stats.nba.com/player/#!/202688/
"Koenig, Bronson",http://stats.nba.com/player/#!/1628460/
